date,hdax_pct,new_cases_pct,containment_diff,Monday,Tuesday,Wednesday,Thursday
2020-05-14,-0.020086898224676436,-0.5900755124056095,0.0,0,0,0,1
2020-05-15,0.011655072524319814,0.9868421052631579,0.0,0,0,0,0
2020-05-18,0.052379616707650595,-0.7589403973509934,-1.7899999999999991,1,0,0,0
2020-05-19,0.0019196745383133324,5.741758241758242,-2.3800000000000026,0,1,0,0
2020-05-20,0.013227556402757499,-0.43357783211083945,0.0,0,0,1,0
2020-05-21,-0.011792069144917948,-0.21151079136690648,0.0,0,0,0,1
2020-05-22,0.0018874690311644164,0.2572992700729927,0.0,0,0,0,0
2020-05-25,0.0279235632314806,-0.6052249637155298,0.0,1,0,0,0
2020-05-26,0.0110866324175981,1.2058823529411764,0.0,0,1,0,0
2020-05-27,0.007144120579731832,-0.46,0.0,0,0,1,0
