Date,Open,High,Low,Close,Volume,Currency
2021-01-27,7698.45,7714.24,7518.3,7602.25,179251504,EUR
2021-01-28,7571.46,7645.71,7427.85,7629.16,170239504,EUR
2021-01-29,7519.21,7589.74,7485.05,7507.55,164566800,EUR
2021-02-01,7543.62,7620.32,7543.62,7606.92,107838096,EUR
2021-02-02,7640.69,7741.17,7640.69,7737.36,124285000,EUR
2021-02-03,7784.87,7814.19,7760.29,7789.2,122794200,EUR
2021-02-04,7792.28,7861.27,7790.0,7856.38,126161200,EUR
2021-02-05,7859.58,7885.32,7838.83,7856.92,114505696,EUR
2021-02-08,7901.51,7910.95,7862.66,7863.31,99096800,EUR
2021-02-09,7864.92,7864.92,7814.84,7828.75,94416400,EUR
2021-02-10,7851.51,7851.51,7743.44,7786.74,111172400,EUR
2021-02-11,7791.13,7858.98,7780.98,7854.65,107289600,EUR
2021-02-12,7826.39,7863.5,7795.41,7862.43,97439104,EUR
2021-02-15,7900.02,7918.23,7888.93,7907.44,89733696,EUR
2021-02-16,7917.4,7929.22,7894.48,7895.84,98193400,EUR
2021-02-17,7885.07,7885.07,7802.85,7807.89,128545400,EUR
2021-02-18,7805.42,7823.12,7757.3,7772.43,119817600,EUR
2021-02-19,7795.95,7838.22,7776.84,7827.01,118321504,EUR
2021-02-22,7771.59,7803.68,7716.38,7793.9,105211800,EUR
2021-02-23,7810.8,7813.82,7622.42,7741.1,147921904,EUR
2021-02-24,7746.85,7810.07,7746.85,7800.37,126522000,EUR
2021-02-25,7824.3,7843.28,7747.37,7747.37,168639008,EUR
2021-02-26,7644.28,7737.7,7623.79,7683.51,171771104,EUR
2021-03-01,7785.52,7826.68,7752.13,7820.71,112415104,EUR
2021-03-02,7797.26,7862.61,7791.46,7822.13,100506496,EUR
2021-03-03,7858.58,7902.99,7776.84,7829.99,134762096,EUR
2021-03-04,7790.83,7821.98,7748.64,7806.04,137512400,EUR
2021-03-05,7760.22,7800.55,7700.87,7709.36,142192896,EUR
2021-03-08,7750.37,7954.55,7742.95,7944.68,164335104,EUR
2021-03-09,7933.56,8004.25,7910.65,7986.66,167355904,EUR
2021-03-10,7975.62,8040.52,7972.39,8025.58,147735200,EUR
2021-03-11,8042.34,8066.41,8027.52,8058.6,122301504,EUR
2021-03-12,8034.36,8037.37,7989.66,8022.47,104822600,EUR
2021-03-15,8019.32,8059.18,7982.35,8007.09,105697200,EUR
2021-03-16,8040.3,8089.24,8033.71,8066.28,118111104,EUR
2021-03-17,8056.87,8072.98,8050.8,8069.63,119944600,EUR
